SMILES1,SMILES2,cocrystal
C1=CC(=CC(=C1)O)[N+](=O)[O-],CC1(C2CCC1(C(=O)C2)C)C,0
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,0
C(C(C(=O)O)O)(C(=O)O)O,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,0
C1=CC(=CC=C1[N+](=O)[O-])O,CC1(C2CCC1(C(=O)C2)C)C,0
C1=CC=C2C(=C1)C=CC=C2O,COC1=C(C=CC(=C1)C=O)O,0
C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,C1=CC=C2C(=C1)C3=CC=CC=C3N2,0
C1=CC(=CC(=C1)N)N,C1=CC=C2C=C(C=CC2=C1)O,0
C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
C1=CC=C(C=C1)C(=O)O,CC1(C2CCC1(C(=O)C2)C)C,0
C(=O)(C(=O)O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC=C(C(=C1)N)[N+](=O)[O-],C1=CC=C2C(=C1)C=CC=C2O,0
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,C1=CN=C(N=C1)Cl,0
C1=CC(=CN=C1)C(=O)N,C1=CC=C2C=C(C=CC2=C1)O,0
C1=CC=C2C(=C1)C=CN2,CC1=CC2=CC=CC=C2N1,0
C(=O)(N)N,C1=CC=C2C(=C1)C=CC=C2O,0
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,C1=CC(=CN=C1)C(=O)N,0
C1=CC(=CN=C1)C(=O)N,C1=CC=C2C(=C1)C=CN2,0
C1=CC(=CN=C1)C(=O)N,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,0
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,CC1=CC(=NN1)C,0
C1=CC=C(C=C1)C(=O)O,C1=CN=CC=C1N,0
CC(C)(C)CCNC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)OC,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC(=CC=C1N)N,C1=CC=C(C=C1)C(=O)N,0
C1=CC=C2C=C(C=CC2=C1)O,COC1=C(C=CC(=C1)C=O)O,0
C1=CC(=CC(=C1)O)N,C1=CC(=CC(=C1)O)O,0
C1=CC=C2C(=C1)C=CC=C2O,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0
C1=CC(=CC(=C1)O)[N+](=O)[O-],C1=CC=C(C=C1)C(=O)N,0
C1=CC(=CC=C1[N+](=O)[O-])O,CC(=O)C1=CC=C(C=C1)N,0
C1=CC=C(C(=C1)C(=O)O)Cl,C1=CC=C(C=C1)C(=O)N,0
C1=CC=C2C(=C1)C3=CC=CC=C3N2,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=CC=C(C(=C1)[N+](=O)[O-])O,C1=CC=C2C(=C1)C3=CC=CC=C3N2,0
C(=CC(=O)O)C(=O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC=C(C(=C1)N)[N+](=O)[O-],C1=CC=C(C=C1)C2=CC=C(C=C2)O,0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,C1=CC=C2C(=C1)C3=CC=CC=C3N2,0
C1=CC(=CN=C1)C(=O)N,CC(=O)NC1=CC=C(C=C1)O,0
C1=CC=C(C(=C1)N)[N+](=O)[O-],C1=CC=C2C=C(C=CC2=C1)O,0
C(CC(=O)N)C(=O)N,C1=CN=CC=C1C2=CC=NC=C2,0
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,C1=CNN=C1,0
CC1=CC(=O)N(N1C)C2=CC=CC=C2,CCOC1=CC=C(C=C1)NC(=O)C,0
CC(=O)NC1=CC=C(C=C1)O,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
C(C(=O)O)Cl,COC1=C(C=CC(=C1)C=O)O,0
C1=CC=C(C(=C1)O)O,COC1=CC=C(C=C1)O,0
C1=CC=C(C(=C1)N)N,C1=CC=C(C=C1)C(=O)N,0
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],C1=CC=C2C(=C1)C3=CC=CC=C3N2,0
C1=CC=NC(=C1)C(=O)N,C1=CN=C(C=N1)C(=O)O,0
C1=CC(=CC(=C1)O)C=O,C1=CC=C2C=C(C=CC2=C1)O,0
C1=CC(=CN=C1)C(=O)N,C1=CN=C(C=N1)C(=O)O,0
C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],C1=CC=C2C(=C1)C3=CC=CC=C3N2,0
C(C(=O)O)(Cl)Cl,CC1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C=C1)C(=O)O,COC(=O)C1=CC=C(C=C1)C(=O)OC,0
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0
C1=CC(=CC(=C1)N)N,C1=CC=C(C=C1)C(=O)N,0
C(C(=O)O)(Cl)Cl,C1=CC=C(C=C1)CC(=O)O,0
C1=CC(=CC=C1C(=O)O)O,COC1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C=C1)C(=O)O,C1=CC=C2C(=C1)C=CC=C2N,0
C1=CC(=CC=C1O)Br,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0
C1=CC(=CC(=C1)[N+](=O)[O-])N,C1=CC=C(C=C1)C2=CC=C(C=C2)O,0
C1=CC(=CC=C1[N+](=O)[O-])O,C1=CC(=CC=C1N)[N+](=O)[O-],0
C1=CC=C2C=C(C=CC2=C1)O,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,COC1=C(C=CC(=C1)C(=O)O)O,0
C1=CC(=CC=C1Br)Br,CC1=C(N=C(C(=N1)C)C)C,0
C1=CC(=CC=C1N)[N+](=O)[O-],C1=CC=C(C=C1)C2=CC=C(C=C2)O,0
C1=CC=C2C(=C1)NC3=CC=CC=C3S2,CC1=NC=CN1,0
C1=CC(=CC=C1I)I,C1=CC=C(C=C1)C2=CC=NC=C2,0
C1=CC(=CC=C1C(=O)O)O,C1=CC=C(C(=C1)C(=O)O)O,0
C1=CC(=CC=C1C(=O)O)N,C1=CC(=CC=C1C(=O)O)O,0
C1=CC(=CC=C1Br)Br,C1=CC=C(C=C1)C2=CC=NC=C2,0
C1=CC(=CC=C1C(=O)N)O,CC(=O)OC1=CC=CC=C1C(=O)O,0
C1=NC=NN1,C1=NNN=N1,0
C1=CC(=CC=C1N)O,CC(=O)NC1=CC=C(C=C1)O,0
C1=CC(=CC=C1Br)Br,C1=CN=CC=C1C2=CC=NC=C2,0
C1=CC(=CC=C1I)I,C1=CN=CC=N1,0
C1=CC(=CC=C1Br)Br,C1=CC=C(C=C1)C(=O)C2=CC=NC=C2,0
C1=CC(=CC=C1Br)Br,C1=CN=CC=N1,0
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,COC1=CC(=CC(=C1)C(=O)O)OC,0
C1=CC(=CC=C1I)I,C1=CC=C(C=C1)C(=O)C2=CC=NC=C2,0
C1=CC=C(C(=C1)C(=O)O)O,CC1=CC=C(C=C1)[N+](=O)[O-],0
C1=CC=C(C(=C1)[N+](=O)[O-])O,C1=CC=C2C=C(C=CC2=C1)N,0
C1=CC(=CC=C1C(=O)O)N,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,CC(=O)C1=CC=C(C=C1)N,0
C1=CC(=CC=C1Cl)Br,CCCCCCCCCCCCCCO,0
C1=CC(=CN=C1)C(=O)N,C1=CC=C(C(=C1)N)[N+](=O)[O-],0
C1=CC=C2C=C(C=CC2=C1)N,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=CC=C1C(=O)O)N,COC1=CC(=CC(=C1)C(=O)O)OC,0
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,C1=CC=C(C(=C1)C(=O)O)I,0
C1=CC(=CC(=C1)[N+](=O)[O-])N,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,0
C1=NNN=C1,C1=NNN=N1,0
C1=CC=C2C=C(C=CC2=C1)N,CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=CC2=C1C=CC(=C2)O)O,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0
C1=C(C=C(C=C1N)N)C(=O)O,C1=CC(=CC=C1C(=O)O)N,0
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,COC1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C(=C1)C(=O)O)O,CC1=CC=CC=C1[N+](=O)[O-],0
CC1=CC=C(C=C1)NC(=O)C,CC1=CC=CC=C1NC(=O)C,0
C1=CC(=CC(=C1)O)C(=O)O,C1=CC=C(C(=C1)C(=O)O)O,0
C1=CC=C(C(=C1)[N+](=O)[O-])O,C1=CC=C2C(=C1)C=CC=C2N,0
CC(=O)NC1=CC=C(C=C1)O,CC(=O)OC1=CC=CC=C1C(=O)O,0
C1=CC=C(C=C1)Br,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,0
C1=CC=C2C=CC=CC2=C1,CC1(C2CCC1(C(=O)C2)C)C,0
C1=CC(=CC=C1C(=O)O)N,C1=CC=C(C(=C1)N)[N+](=O)[O-],0
