SMILES1,SMILES2,cocrystal,mol1_top1_pos,mol1_top1_val,mol2_top1_pos,mol2_top1_val,mol1_top2_pos,mol1_top2_val,mol2_top2_pos,mol2_top2_val,mol1_top3_pos,mol1_top3_val,mol2_top3_pos,mol2_top3_val,mol1_top4_pos,mol1_top4_val,mol2_top4_pos,mol2_top4_val,mol1_top5_pos,mol1_top5_val,mol2_top5_pos,mol2_top5_val,mol1_top6_pos,mol1_top6_val,mol2_top6_pos,mol2_top6_val
CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,CC(O)=CC(C)=O,1,24.0,1.308082,2.0,0.570511,19.0,0.813057,6.0,0.076286,31.0,0.541667,None,None,16.0,0.538433,None,None,34.0,0.447623,None,None,10.0,0.378607,None,None
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,COC1=CC=C(C=C1)C(=O)N,0,6.0,-0.806299,6.0,-0.889552,10.0,-0.747998,4.0,-0.631863,23.0,-0.590949,8.0,-0.543665,19.0,-0.57891,2.0,-0.446463,4.0,-0.546312,11.0,-0.266857,16.0,-0.478982,9.0,-0.222927
c1cncc(c1)N=Nc1cccnc1,ON=Cc1c(F)c(F)c(Br)c(F)c1F,1,5.0,0.833443,13.0,0.953631,2.0,0.759006,3.0,0.498399,3.0,0.514631,9.0,0.109464,1.0,0.233716,None,None,13.0,0.07493,None,None,None,None,None,None
c1ccc2nccnc2c1,Fc1c(F)c(I)c(F)c(I)c1F,1,10.0,1.038221,4.0,1.14773,8.0,0.210506,9.0,0.292227,3.0,0.205562,2.0,0.187083,9.0,0.198764,5.0,0.147376,7.0,0.095164,10.0,0.126864,5.0,0.069169,6.0,0.032534
Cc1c(C)c(C)c(C)c(C)c1C,Clc1c(Cl)c(Cl)c(C#N)c(C#N)c1Cl,1,7.0,0.651745,9.0,1.026463,2.0,0.45218,8.0,0.707684,12.0,0.426209,11.0,0.504828,5.0,0.277408,4.0,0.443391,8.0,0.209171,1.0,0.377187,4.0,0.166488,14.0,0.366549
CCCC[N+](CCCC)=C1C=CC2=C(c3ccccc3C(=O)[O-])c3cc(Nc4ccccc4)c(C)cc3OC2=C1,Oc1ccc(cc1CC=C)S(=O)(=O)c1ccc(O)c(CC=C)c1,1,23.0,1.218752,3.0,0.584216,6.0,0.865682,10.0,0.573913,40.0,0.813494,23.0,0.520935,24.0,0.70681,1.0,0.515541,3.0,0.666199,17.0,0.420837,32.0,0.525272,20.0,0.411592
CC1(O)CCC2CC1CCC2(C)O,Oc1ccc(O)cc1,1,7.0,0.585909,8.0,0.452906,1.0,0.315819,5.0,0.390499,12.0,0.24067,1.0,0.21077,3.0,0.201687,7.0,0.059845,8.0,0.092036,None,None,5.0,0.063587,None,None
ClC1=CNC(=O)C=C1,OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(O)=O,1,1.0,0.419841,18.0,0.726324,3.0,0.122291,11.0,0.609211,4.0,0.085786,3.0,0.463174,None,None,13.0,0.36142,None,None,5.0,0.273638,None,None,8.0,0.186922
OC(C1OC2(CCCCC2)OC1C(O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,OC1CCN(C1)Cc1ccccc1,1,36.0,0.917311,3.0,0.633837,37.0,0.910914,4.0,0.559268,13.0,0.589071,7.0,0.523121,20.0,0.571927,9.0,0.4208,34.0,0.469493,12.0,0.190797,31.0,0.463004,5.0,0.078452
CC1=CNC(=O)NC1=O,Nc1ccnc(N)n1,1,6.0,0.436821,8.0,0.56585,7.0,0.432802,6.0,0.304823,1.0,0.112766,5.0,0.160548,8.0,0.098764,1.0,0.13685,None,None,None,None,None,None,None,None
NC(=O)N1c2ccccc2C=Cc2ccccc12,OC(=O)CC(O)=O,1,14.0,1.287158,2.0,0.869502,8.0,0.916467,5.0,0.631717,1.0,0.573235,3.0,0.345788,3.0,0.475421,None,None,9.0,0.403549,None,None,5.0,0.373438,None,None
CN1c2cc(ncn2)N(C)c2ncnc(N(C)c3cc(ncn3)N(C)c3ncnc1c3Br)c2Br,O=C1CCC(=O)N1,1,12.0,0.8967,1.0,0.639952,26.0,0.808947,5.0,0.490344,7.0,0.701079,3.0,0.121296,3.0,0.62456,None,None,9.0,0.435105,None,None,20.0,0.349437,None,None
NC1=Nc2ccccc2S1,O=C(NCc1ccccc1)C1=Cc2ccccc2OC1=O,1,6.0,0.776294,2.0,0.612043,9.0,0.516248,9.0,0.572096,5.0,0.208165,3.0,0.313396,8.0,0.084747,17.0,0.262335,4.0,0.010876,10.0,0.246613,2.0,0.003199,8.0,0.220347
[O-]c1cc[nH+]cc1,OC(=O)C1CCC(CC1)C(O)=O,1,2.0,0.630058,2.0,0.456995,1.0,0.270614,12.0,0.402513,7.0,0.200655,1.0,0.309769,6.0,0.134067,4.0,0.193902,4.0,0.100167,11.0,0.062266,None,None,8.0,0.016903
Brc1ccc2Nc3ccc(Br)cc3c2c1,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,1,10.0,1.545684,15.0,0.410958,2.0,1.064173,8.0,0.348582,15.0,0.864642,11.0,0.199782,11.0,0.52202,1.0,0.186122,6.0,0.502061,9.0,0.182956,1.0,0.305185,16.0,0.118916
CC=CC=CC(O)=O,CCC(=O)NC1=Nc2c(Oc3cc(ncn3)c3ccc(cc3)C(F)(F)F)cccc2S1,1,3.0,0.472503,23.0,0.906616,1.0,0.348748,2.0,0.785954,8.0,0.159284,21.0,0.736927,None,None,3.0,0.732833,None,None,10.0,0.419311,None,None,6.0,0.404321
c1cc2ccc3cccc4ccc(c1)c2c34,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,1,3.0,0.8714,14.0,0.477537,1.0,0.768631,9.0,0.272286,8.0,0.276524,None,None,6.0,0.254522,None,None,4.0,0.088488,None,None,12.0,0.084032,None,None
[O-][n+]1cccc2ccccc12,Oc1ccc(cc1)C1(CCCCC1)c1ccc(O)cc1,1,9.0,1.115692,10.0,0.919269,11.0,0.659602,14.0,0.873486,4.0,0.450557,11.0,0.62537,None,None,16.0,0.484282,None,None,5.0,0.474988,None,None,3.0,0.439812
